Change Component Footprint: Designator=SW1 Old Footprint=GF-661-0010 New Footprint=1003P1T2B1M2QEH
Change component parameters: Designator = "SW1" ("SW1"); Footprint = "GF-661-0010"; UniqueID = "\AIEFJUVB" ("\AIEFJUVB")
Change component parameters (AddParameter): Name = "01_Componente"; Value = "Switch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "02_Montaje"; Value = "THT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "03_Encapsulado"; Value = "NA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "04_Manufacturer Part Number"; Value = "1003P1T1B1M2QEH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "05_Digikey Part Number"; Value = "EG2425-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "06_Manufacturer"; Value = "CW Industries"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "01_Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.digikey.com/en/products/detail/e-switch/1003P1T1B1M2QEH/378894"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "02_Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://configured-product-images.s3.amazonaws.com/Datasheets/100.pdf"; VariantName = "[No Variations]"
